# Золотой набор вопросов для тестирования RAG-бота

# Формат: вопрос | ожидаемый_ответ | категория | должен_ответить

# ============================================
# Вопросы на известные темы (бот должен ответить)
# ============================================

Кто такой Люк Скайуокер? | Люк Скайуокер - главный герой, джедай, сын Энакина Скайуокера | персонаж | да
Что такое Сила? | Сила - это мистическое энергетическое поле, которое связывает галактику | концепт | да
Кто такой Хан Соло? | Хан Соло - контрабандист, пилот корабля Millennium Falcon | персонаж | да
Что такое световой меч? | Световой меч - оружие джедаев и ситхов, использующее кристаллы | технология | да
Кто такая принцесса Лея? | Принцесса Лея - лидер Альянса повстанцев, сестра Люка Скайуокера | персонаж | да
Что такое Millennium Falcon? | Millennium Falcon - корабль Хана Соло, самый быстрый корабль в галактике | технология | да
Кто такие джедаи? | Джедаи - хранители мира, использующие Силу для защиты галактики | концепт | да
Что такое планета Татуин? | Татуин - пустынная планета, родина Люка Скайуокера и Энакина Скайуокера | планета | да

# ============================================
# Вопросы на удаленные темы (бот НЕ должен ответить корректно)
# ============================================

Кто такой Йода? | Информация о Йоде удалена из базы знаний | персонаж | нет
Что такое Звезда Смерти? | Информация о Звезде Смерти удалена из базы знаний | технология | нет
Кто такой Дарт Вейдер? | Информация о Дарте Вейдере удалена из базы знаний | персонаж | нет
Что такое Void Core? | Информация о Void Core отсутствует в базе знаний | концепт | нет
Кто такой Xarn Velgor? | Информация о Xarn Velgor отсутствует в базе знаний | персонаж | нет


